Date,Open,High,Low,Close,Adj Close,Volume
2008-12-31,27.700001,29.450001,27.700001,28.375000,23.808418,156910
2009-01-02,29.900000,31.590000,29.049999,30.510000,25.599817,708840
2009-01-05,31.490000,32.189999,30.900000,31.350000,26.304632,468560
2009-01-06,31.500000,31.889999,30.000000,30.215000,25.352289,290010
2009-01-07,30.600000,30.900000,24.500000,26.459999,22.201611,361450
2009-01-09,25.100000,27.299999,23.660000,25.174999,21.123411,168080
2009-01-12,24.980000,25.000000,24.400000,24.705000,20.729052,66640
2009-01-13,24.600000,24.990000,24.000000,24.100000,20.221416,102800
2009-01-14,24.205000,25.000000,24.205000,24.520000,20.573824,68840
2009-01-15,24.350000,24.350000,23.500000,23.709999,19.894188,79260
2009-01-16,23.995001,24.500000,23.799999,24.010000,20.145910,180530
2009-01-19,24.500000,24.799999,23.600000,23.820000,19.986479,63460
2009-01-20,23.500000,24.180000,23.125000,23.305000,19.554365,90670
2009-01-21,23.000000,23.799999,23.000000,23.434999,19.663445,122660
2009-01-22,23.799999,24.200001,23.270000,23.809999,19.978094,83110
2009-01-23,23.900000,24.889999,22.000000,24.014999,20.150105,569630
2009-01-27,23.500000,25.000000,23.500000,24.809999,20.817160,167350
2009-01-28,24.700001,26.209999,24.700001,26.025000,21.836617,203870
2009-01-29,26.200001,29.990000,26.000000,29.020000,24.349613,652450
2009-01-30,28.200001,29.000000,26.674999,28.655001,24.043356,276500
2009-02-02,27.799999,29.900000,27.700001,28.745001,24.118870,184410
2009-02-03,28.799999,29.270000,27.700001,28.570000,23.972033,117930
2009-02-04,28.780001,28.780001,27.115000,27.459999,23.040672,104570
2009-02-05,27.985001,28.830000,27.215000,27.365000,22.960966,33360
2009-02-06,27.375000,30.700001,27.375000,28.174999,23.640604,354000
2009-02-09,28.000000,29.799999,28.000000,28.590000,23.988813,54380
2009-02-10,28.225000,29.900000,28.025000,29.209999,24.509031,169100
2009-02-11,28.000000,28.955000,27.799999,27.965000,23.464401,82900
2009-02-12,28.299999,28.500000,27.510000,27.670000,23.216875,147730
2009-02-13,27.500000,28.250000,27.500000,27.764999,23.296591,53500
2009-02-16,28.100000,28.350000,27.165001,27.375000,22.969353,42190
2009-02-17,26.825001,27.745001,26.209999,26.620001,22.335863,149810
2009-02-18,26.420000,26.844999,25.700001,25.975000,21.794668,81880
2009-02-19,26.290001,26.385000,25.510000,25.825001,21.668808,55560
2009-02-20,25.299999,26.299999,25.150000,25.885000,21.719156,91790
2009-02-24,25.799999,26.250000,25.545000,25.760000,21.614265,218750
2009-02-25,25.799999,26.469999,25.200001,25.645000,21.517771,350350
2009-02-26,25.400000,25.799999,24.125000,24.575001,20.619978,467260
2009-02-27,24.559999,24.875000,24.004999,24.389999,20.464750,62060
2009-03-02,24.000000,24.445000,23.719999,23.885000,20.041023,13710
2009-03-03,23.990000,24.290001,23.100000,23.540001,19.751547,31950
2009-03-04,24.200001,24.400000,23.299999,23.934999,20.082975,47180
2009-03-05,24.400000,25.100000,23.700001,23.855000,20.015850,120210
2009-03-06,23.049999,23.600000,21.830000,23.160000,19.432701,107300
2009-03-09,23.000000,24.799999,22.600000,24.525000,20.578024,154700
2009-03-12,25.400000,26.209999,24.520000,25.000000,20.976580,123390
2009-03-13,25.799999,25.900000,24.934999,25.049999,21.018534,53610
2009-03-16,25.820000,25.820000,24.555000,25.115000,21.073067,57010
2009-03-17,25.000000,25.500000,24.240000,24.665001,20.695492,62260
2009-03-18,25.000000,25.780001,24.715000,24.910000,20.901064,235620
2009-03-19,25.299999,28.200001,25.065001,25.459999,21.362545,350740
2009-03-20,25.500000,26.000000,24.825001,25.000000,20.976580,126990
2009-03-23,25.000000,26.600000,25.000000,25.285000,21.215714,493860
2009-03-24,25.969999,26.700001,24.504999,24.764999,20.779396,3263660
2009-03-25,24.500000,25.000000,24.200001,24.365000,20.443775,698440
2009-03-26,24.600000,25.290001,24.325001,24.530001,20.582220,556290
2009-03-27,24.820000,26.190001,24.700001,25.620001,21.496799,351250
2009-03-30,25.500000,26.700001,25.025000,25.370001,21.287035,443440
2009-03-31,25.299999,27.000000,24.580000,25.809999,21.656216,483460
2009-04-01,25.799999,26.684999,25.530001,26.090000,21.891155,181200
2009-04-02,26.500000,28.495001,26.500000,27.200001,22.822519,809510
2009-04-06,27.975000,29.490000,26.709999,28.740000,24.114676,1084480
2009-04-08,27.219999,31.790001,27.219999,31.049999,26.052902,2115470
2009-04-09,31.799999,32.755001,28.799999,29.379999,24.651674,2020950
2009-04-13,29.700001,31.100000,29.200001,30.615000,25.687918,862050
